,Region,Sub-region,Country/Territory,Total,Male,Female,Year,Age,Source,Method,Drug,Low,High,ISO3,stimulant,depressant,Continent,Country,PopMale,PopFemale,PopTotal,DrugConsumingPopulation
0,Africa,East Africa,Kenya,1.2,2.1,0.3,2016.0,15-64,ARQ,HHS,Cannabis,,,KEN,,1.2,Africa,Kenya,23780053.0,24114619.0,47894669.0,39912224.16666667
1,Africa,East Africa,Kenya,0.1,0.2,0.0,2016.0,15-64,ARQ,HHS,Cocaine,,,KEN,0.1,,Africa,Kenya,23780053.0,24114619.0,47894669.0,478946690.0
2,Africa,East Africa,Kenya,0.0,0.0,0.0,2016.0,15-64,ARQ,HHS,Tranquillizers and sedatives,,,KEN,,0.0,Africa,Kenya,23780053.0,24114619.0,47894669.0,inf
3,Africa,East Africa,Kenya,2.1,,,2007.0,15-65,Govt,HHS,Cannabis,0.3,4.0,KEN,,2.1,Africa,Kenya,18903422.0,19133381.0,38036794.0,18112759.04761905
4,Africa,East Africa,Kenya,0.3,,,2007.0,15-65,Government source,HHS,Cocaine,0.2,0.4,KEN,0.3,,Africa,Kenya,18903422.0,19133381.0,38036794.0,126789313.33333334
5,Africa,East Africa,Kenya,0.25,,,2007.0,15-65,Government source,HHS,Ecstasy,0.2,0.3,KEN,0.25,,Africa,Kenya,18903422.0,19133381.0,38036794.0,152147176.0
6,Africa,East Africa,Kenya,7.1,,,2004.0,15-64,"ARQ, NGO, Council of Europe ","SS, A ",Cannabis,,,KEN,,7.1,Africa,Kenya,17274190.0,17517655.0,34791837.0,4900258.7323943665
7,Africa,East Africa,Kenya,0.73,,,2004.0,15-64,Reference Group to the UN on HIV and IDU ,I ,Opiates,,,KEN,,0.73,Africa,Kenya,17274190.0,17517655.0,34791837.0,47660050.68493151
8,Africa,East Africa,Madagascar,9.1,,,2004.0,15-64,ARQ,"SS, A",Cannabis,,,MDG,,9.1,Africa,Madagascar,9169926.0,9080855.0,18250776.0,2005579.7802197803
9,Africa,East Africa,Mauritius,1.08,,,2009.0,15-54,Government source,,Cannabis,,,MUS,,1.08,Africa,Mauritius,635926.0,643950.0,1279868.0,1185062.962962963
