,Region,Sub-region,Country/Territory,Total,Male,Female,Year,Age,Source,Method,Drug,Low,High,ISO3,stimulant,depressant,Continent,Country,PopMale,PopFemale,PopTotal,DrugConsumingPopulation
0,Africa,East Africa,Kenya,1.2,2.1,0.3,2016.0,15-64,ARQ,HHS,Cannabis,,,KEN,,1.2,Africa,Kenya,23780053.0,24114619.0,47894669.0,574736.0279999999
1,Africa,East Africa,Kenya,0.1,0.2,0.0,2016.0,15-64,ARQ,HHS,Cocaine,,,KEN,0.1,,Africa,Kenya,23780053.0,24114619.0,47894669.0,47894.669
2,Africa,East Africa,Kenya,0.0,0.0,0.0,2016.0,15-64,ARQ,HHS,Tranquillizers and sedatives,,,KEN,,0.0,Africa,Kenya,23780053.0,24114619.0,47894669.0,0.0
3,Africa,East Africa,Kenya,2.1,,,2007.0,15-65,Govt,HHS,Cannabis,0.3,4.0,KEN,,2.1,Africa,Kenya,18903422.0,19133381.0,38036794.0,798772.6740000001
4,Africa,East Africa,Kenya,0.3,,,2007.0,15-65,Government source,HHS,Cocaine,0.2,0.4,KEN,0.3,,Africa,Kenya,18903422.0,19133381.0,38036794.0,114110.382
5,Africa,East Africa,Kenya,0.25,,,2007.0,15-65,Government source,HHS,Ecstasy,0.2,0.3,KEN,0.25,,Africa,Kenya,18903422.0,19133381.0,38036794.0,95091.985
6,Africa,East Africa,Kenya,7.1,,,2004.0,15-64,"ARQ, NGO, Council of Europe ","SS, A ",Cannabis,,,KEN,,7.1,Africa,Kenya,17274190.0,17517655.0,34791837.0,2470220.4269999997
7,Africa,East Africa,Kenya,0.73,,,2004.0,15-64,Reference Group to the UN on HIV and IDU ,I ,Opiates,,,KEN,,0.73,Africa,Kenya,17274190.0,17517655.0,34791837.0,253980.41009999998
8,Africa,East Africa,Madagascar,9.1,,,2004.0,15-64,ARQ,"SS, A",Cannabis,,,MDG,,9.1,Africa,Madagascar,9169926.0,9080855.0,18250776.0,1660820.616
9,Africa,East Africa,Mauritius,1.08,,,2009.0,15-54,Government source,,Cannabis,,,MUS,,1.08,Africa,Mauritius,635926.0,643950.0,1279868.0,13822.574400000001
10,Africa,East Africa,Mauritius,1.29,,,2009.0,15-64,Government source,I,Opioids,,,MUS,,1.29,Africa,Mauritius,635926.0,643950.0,1279868.0,16510.2972
11,Africa,East Africa,Mauritius,3.9,,,2004.0,15-54,ARQ ,,Cannabis,,,MUS,,3.9,Africa,Mauritius,623250.0,627133.0,1250388.0,48765.132000000005
12,Africa,North Africa,Algeria,0.52,1.06,0.03,2010.0,12+,ARQ,HHS,Cannabis,,,DZA,,0.52,Africa,Algeria,18282637.0,17573709.0,35856347.0,186453.0044
13,Africa,North Africa,Algeria,0.01,0.02,,2010.0,12+,ARQ,HHS,Cocaine,,,DZA,0.01,,Africa,Algeria,18282637.0,17573709.0,35856347.0,3585.6347000000005
14,Africa,North Africa,Algeria,0.03,0.06,0.01,2010.0,12+,ARQ,HHS ,Amphetamines,,,DZA,0.03,,Africa,Algeria,18282637.0,17573709.0,35856347.0,10756.9041
15,Africa,North Africa,Algeria,0.02,0.02,0.01,2010.0,12+,ARQ,HHS,Ecstasy,,,DZA,0.02,,Africa,Algeria,18282637.0,17573709.0,35856347.0,7171.269400000001
16,Africa,North Africa,Algeria,0.06,0.11,0.01,2010.0,12+,ARQ,HHS,Opiates,0.05,0.06,DZA,,0.06,Africa,Algeria,18282637.0,17573709.0,35856347.0,21513.8082
17,Africa,North Africa,Algeria,0.59,0.54,0.63,2010.0,12+,ARQ,HHS,Tranquillizers and sedatives,,,DZA,,0.59,Africa,Algeria,18282637.0,17573709.0,35856347.0,211552.4473
18,Africa,North Africa,Egypt,5.31,,,2016.0,15-64,MedSPAD/UNODC estimate ,SS,Cannabis,,,EGY,,5.31,Africa,Egypt,50509726.0,49274300.0,99784036.0,5298532.3116
19,Africa,North Africa,Egypt,0.35,,,2016.0,15-64,MedSPAD/UNODC Estimate,SS,Cocaine,,,EGY,0.35,,Africa,Egypt,50509726.0,49274300.0,99784036.0,349244.126
20,Africa,North Africa,Egypt,1.76,,,2016.0,15-64,MedSPAD/UNODC Estimate,SS,Opiates,1.39,2.14,EGY,,1.76,Africa,Egypt,50509726.0,49274300.0,99784036.0,1756199.0336000002
21,Africa,West and Central Africa,Egypt,3.0,,,2016.0,15-64,Government source,HHS,Prescription opioids,,,EGY,,3.0,Africa,Egypt,50509726.0,49274300.0,99784036.0,2993521.08
22,Africa,North Africa,Egypt,6.24,,,2006.0,15-64,Govt; Academic Research,"HHS, SS",Cannabis,2.9,9.58,EGY,,6.24,Africa,Egypt,40852871.0,39776786.0,80629665.0,5031291.096
23,Africa,North Africa,Egypt,0.02,,,2006.0,15-64,Government source; Academic Research,"HHS, SS",Cocaine,,,EGY,0.02,,Africa,Egypt,40852871.0,39776786.0,80629665.0,16125.933
24,Africa,North Africa,Egypt,0.48,,,2006.0,15-64,Govt; Academic Research,"HHS, SS",Amphetamines,0.43,0.52,EGY,0.48,,Africa,Egypt,40852871.0,39776786.0,80629665.0,387022.39199999993
25,Africa,North Africa,Egypt,0.44,,,2006.0,15-64,Govt; Academic Research,"HHS, SS",Opiates,0.14,0.73,EGY,,0.44,Africa,Egypt,40852871.0,39776786.0,80629665.0,354770.526
26,Africa,North Africa,Morocco,10.47,,,2017.0,15-64,MedSPAD/UNODC estimate ,SS,Cannabis,,,MAR,,10.47,Africa,Morocco,17881449.0,17646665.0,35528116.0,3719793.7452000002
27,Africa,North Africa,Morocco,0.43,,,2017.0,15-64,MedSPAD/UNODC Estimate,SS,Cocaine,0.33,0.52,MAR,0.43,,Africa,Morocco,17881449.0,17646665.0,35528116.0,152770.8988
28,Africa,North Africa,Morocco,0.71,,,2017.0,15-64,MedSPAD/UNODC Estimate,SS,Opiates,,,MAR,,0.71,Africa,Morocco,17881449.0,17646665.0,35528116.0,252249.6236
29,Africa,North Africa,Morocco,4.22,,,2004.0,15-64,ARQ,HHS ,Cannabis,,,MAR,,4.22,Africa,Morocco,15038650.0,14994490.0,30033124.0,1267397.8328
30,Africa,North Africa,Morocco,0.05,,,2004.0,15-64,ARQ,,Cocaine,,,MAR,0.05,,Africa,Morocco,15038650.0,14994490.0,30033124.0,15016.562000000002
31,Africa,North Africa,Morocco,0.02,,,2004.0,15-64,ARQ ,,Opiates,,,MAR,,0.02,Africa,Morocco,15038650.0,14994490.0,30033124.0,6006.6248
32,Africa,North Africa,Morocco,0.18,,,2004.0,15+,ARQ/Government,HHS,Tranquillizers and sedatives,,,MAR,,0.18,Africa,Morocco,15038650.0,14994490.0,30033124.0,54059.623199999995
33,Africa,North Africa,Tunisia,5.35,,,2017.0,15-64,MedSPAD/UNODC estimate ,SS,Cannabis,,,TUN,,5.35,Africa,Tunisia,5853781.0,5957671.0,11811441.0,631912.0935
34,Africa,North Africa,Tunisia,0.1,,,2017.0,15-64,MedSPAD/UNODC Estimate,SS,Cocaine,,,TUN,0.1,,Africa,Tunisia,5853781.0,5957671.0,11811441.0,11811.441
35,Africa,North Africa,Tunisia,2.6,,,2013.0,15-64,ARQ,HHS,Cannabis,,,TUN,,2.6,Africa,Tunisia,5615985.0,5684299.0,11300284.0,293807.384
36,Africa,North Africa,Tunisia,0.13,,,2013.0,15-64,ARQ,HHS,Prescription opioids,,,TUN,,0.13,Africa,Tunisia,5615985.0,5684299.0,11300284.0,14690.369200000001
37,Africa,North Africa,Tunisia,0.52,,,2013.0,15-64,ARQ,HHS,Tranquillizers and sedatives,,,TUN,,0.52,Africa,Tunisia,5615985.0,5684299.0,11300284.0,58761.476800000004
38,Africa,Southern Africa,South Africa,3.65,,,2011.0,15-64,ARQ,SS,Cannabis,2.88,4.42,ZAF,,3.65,Africa,South Africa,25278908.0,27164416.0,52443318.0,1914181.1069999998
39,Africa,Southern Africa,South Africa,1.02,,,2011.0,15-64,ARQ,SS,Cocaine,0.29,1.1,ZAF,1.02,,Africa,South Africa,25278908.0,27164416.0,52443318.0,534921.8436
40,Africa,Southern Africa,South Africa,0.31,,,2011.0,15-64,ARQ,SS,Ecstasy,0.24,0.38,ZAF,0.31,,Africa,South Africa,25278908.0,27164416.0,52443318.0,162574.2858
41,Africa,Southern Africa,South Africa,4.26,,,2008.0,15-64,ARQ ,HHS ,Cannabis,3.52,6.18,ZAF,,4.26,Africa,South Africa,24278084.0,26287725.0,50565814.0,2154103.6763999998
42,Africa,Southern Africa,South Africa,0.78,,,2008.0,15-64,ARQ ,HHS ,Cocaine,0.64,1.17,ZAF,0.78,,Africa,South Africa,24278084.0,26287725.0,50565814.0,394413.3492
43,Africa,Southern Africa,South Africa,1.02,,,2008.0,15-64,ARQ,HHS,Amphetamines,0.75,1.37,ZAF,1.02,,Africa,South Africa,24278084.0,26287725.0,50565814.0,515771.3028
44,Africa,Southern Africa,South Africa,0.5,,,2008.0,15-64,ARQ,HHS,Opioids,,,ZAF,,0.5,Africa,South Africa,24278084.0,26287725.0,50565814.0,252829.07
45,Africa,Southern Africa,South Africa,0.41,,,2008.0,15-64,ARQ,HHS,Opiates,,,ZAF,,0.41,Africa,South Africa,24278084.0,26287725.0,50565814.0,207319.8374
46,Africa,Southern Africa,South Africa,0.09,,,2008.0,15-64,ARQ,HHS,Prescription opioids,,,ZAF,,0.09,Africa,South Africa,24278084.0,26287725.0,50565814.0,45509.232599999996
47,Africa,Southern Africa,Zambia,9.5,,,2004.0,15-64,Govt; Academic Research,SS,Cannabis,4.0,15.6,ZMB,,9.5,Africa,Zambia,5423629.0,5764427.0,11188044.0,1062864.18
48,Africa,Southern Africa,Zambia,17.7,,,2003.0,,UNODC Estimate ,,Cannabis,,,ZMB,,17.7,Africa,Zambia,5244892.0,5593084.0,10837971.0,1918320.8669999999
49,Africa,Southern Africa,Zambia,0.1,,,2003.0,15-64,UNODC Estimate,,Amphetamines,,,ZMB,0.1,,Africa,Zambia,5244892.0,5593084.0,10837971.0,10837.971000000001
50,Africa,Southern Africa,Zambia,0.3,,,2003.0,15-64,UNODC Estimate,,Ecstasy,,,ZMB,0.3,,Africa,Zambia,5244892.0,5593084.0,10837971.0,32513.912999999997
51,Africa,Southern Africa,Zambia,0.37,,,2003.0,15-64,UNODC Estimate,,Opiates,,,ZMB,,0.37,Africa,Zambia,5244892.0,5593084.0,10837971.0,40100.4927
52,Africa,West and Central Africa,Burkina Faso,2.9,,,2006.0,15-64,UNODC Estimate,,Cannabis,,,BFA,,2.9,Africa,Burkina Faso,7101162.0,7215097.0,14316247.0,415171.16299999994
53,Africa,West and Central Africa,Cabo Verde,2.4,,,2012.0,15-64,UNODC/Govt.,HHS,Cannabis,,,CPV,,2.4,Africa,Cabo Verde,265739.0,268153.0,533877.0,12813.048
54,Africa,West and Central Africa,Cabo Verde,0.2,,,2012.0,15-64,UNODC/Government source,HHS,Cocaine,,,CPV,0.2,,Africa,Cabo Verde,265739.0,268153.0,533877.0,1067.7540000000001
55,Africa,West and Central Africa,Cabo Verde,8.1,,,2004.0,15-64,UNODC Estimate,,Cannabis,,,CPV,,8.1,Africa,Cabo Verde,239165.0,247439.0,486591.0,39413.871
56,Africa,West and Central Africa,Cabo Verde,0.23,,,2004.0,15-64,UNODC Estimate,,Cocaine,,,CPV,0.23,,Africa,Cabo Verde,239165.0,247439.0,486591.0,1119.1593
57,Africa,West and Central Africa,Cabo Verde,0.06,,,2004.0,15-64,UNODC Estimate,,Ecstasy,,,CPV,0.06,,Africa,Cabo Verde,239165.0,247439.0,486591.0,291.95459999999997
58,Africa,West and Central Africa,Cabo Verde,0.18,,,2004.0,15-64,UNODC Estimate,,Opiates,,,CPV,,0.18,Africa,Cabo Verde,239165.0,247439.0,486591.0,875.8637999999999
59,Africa,West and Central Africa,Côte d'Ivoire,3.24,,,2017.0,15-64,Government/UNODC Estimate,SS,Cannabis,1.99,4.3,CIV,,3.24,Africa,Côte d'Ivoire,12572385.0,12275634.0,24848024.0,805075.9776000001
