,Entity,Code,Year,Anxiety_disorders_%,Mental_disorders_male(%),Mental_disorders_female(%),Total,Depressive_disorders(%),World Population,Yearly Change,Net Change,Density (P/Km²)
0,Afghanistan,AFG,1990,4.84,0.015355012587842394,0.016627549844510113,0.03198256243235251,0.008256390514389216,5327231061,1.71 %,89789503.0,36.0
1,African Region (WHO),,1990,3.54,0.48171422838908845,0.5176210809002114,0.9993353092892999,0.31716724516973227,5327231061,1.71 %,89789503.0,36.0
2,Albania,ALB,1990,3.85,0.003223212923070918,0.003351347031050058,0.006574559954120976,0.0013216622142682764,5327231061,1.71 %,89789503.0,36.0
3,Algeria,DZA,1990,4.85,0.03050753724384023,0.03234432635397191,0.06285186359781213,0.016061815044293982,5327231061,1.71 %,89789503.0,36.0
4,American Samoa,ASM,1990,4.13,4.460103143252791e-05,4.347474275998932e-05,8.807577419251722e-05,1.9785137680927783e-05,5327231061,1.71 %,89789503.0,36.0
5,Andorra,AND,1990,5.85,7.427873795391958e-05,7.927195106884065e-05,0.00015355068902276023,4.238599704320203e-05,5327231061,1.71 %,89789503.0,36.0
6,Angola,AGO,1990,3.97,0.010761218979159274,0.010986044969675852,0.021747263948835128,0.008402620327040476,5327231061,1.71 %,89789503.0,36.0
7,Antigua and Barbuda,ATG,1990,4.45,7.324630667075922e-05,7.936580845821885e-05,0.00015261211512897807,3.256851411424071e-05,5327231061,1.71 %,89789503.0,36.0
8,Argentina,ARG,1990,5.35,0.03665009040613115,0.04348987257115709,0.08013996297728825,0.01568664828747138,5327231061,1.71 %,89789503.0,36.0
9,Armenia,ARM,1990,3.28,0.0031499478449222838,0.003574370959690573,0.006724318804612856,0.0017144553888161075,5327231061,1.71 %,89789503.0,36.0
10,Australia,AUS,1990,6.24,0.027489590431339465,0.028816977946359817,0.056306568377699276,0.014893309318013078,5327231061,1.71 %,89789503.0,36.0
11,Austria,AUT,1990,6.24,0.009708026441468445,0.012698679525138023,0.022406705966606467,0.006058907456877062,5327231061,1.71 %,89789503.0,36.0
