,Region,Sub-region,Country/Territory,Total,Male,Female,Year,Age,Source,Method,Drug,Low,High,ISO3
0,Africa,East Africa,Kenya,1.2,2.1,0.3,2016,15-64,ARQ,HHS,Cannabis,,,KEN
1,Africa,East Africa,Kenya,2.1,,,2007,15-65,Govt,HHS,Cannabis,0.3,4,KEN
2,Africa,East Africa,Kenya,7.1,,,2004,15-64,"ARQ, NGO, Council of Europe ","SS, A ",Cannabis,,,KEN
3,Africa,East Africa,Madagascar,9.1,,,2004,15-64,ARQ,"SS, A",Cannabis,,,MDG
4,Africa,East Africa,Mauritius,1.08,,,2009,15-54,Government source,,Cannabis,,,MUS
5,Africa,East Africa,Mauritius,3.9,,,2004,15-54,ARQ ,,Cannabis,,,MUS
6,Africa,North Africa,Algeria,0.52,1.06,0.03,2010,12+,ARQ,HHS,Cannabis,,,DZA
7,Africa,North Africa,Egypt,5.31,,,2016,15-64,MedSPAD/UNODC estimate ,SS,Cannabis,,,EGY
8,Africa,North Africa,Egypt,6.24,,,2006,15-64,Govt; Academic Research,"HHS, SS",Cannabis,2.9,9.58,EGY
9,Africa,North Africa,Morocco,10.47,,,2017,15-64,MedSPAD/UNODC estimate ,SS,Cannabis,,,MAR
10,Africa,North Africa,Morocco,4.22,,,2004,15-64,ARQ,HHS ,Cannabis,,,MAR
11,Africa,North Africa,Tunisia,5.35,,,2017,15-64,MedSPAD/UNODC estimate ,SS,Cannabis,,,TUN
12,Africa,North Africa,Tunisia,2.6,,,2013,15-64,ARQ,HHS,Cannabis,,,TUN
13,Africa,Southern Africa,South Africa,3.65,,,2011,15-64,ARQ,SS,Cannabis,2.88,4.42,ZAF
14,Africa,Southern Africa,South Africa,4.26,,,2008,15-64,ARQ ,HHS ,Cannabis,3.52,6.18,ZAF
15,Africa,Southern Africa,Zambia,9.5,,,2004,15-64,Govt; Academic Research,SS,Cannabis,4,15.6,ZMB
16,Africa,Southern Africa,Zambia,17.7,,,2003,,UNODC Estimate ,,Cannabis,,,ZMB
17,Africa,West and Central Africa,Burkina Faso,2.9,,,2006,15-64,UNODC Estimate,,Cannabis,,,BFA
18,Africa,West and Central Africa,Cabo Verde,2.4,,,2012,15-64,UNODC/Govt.,HHS,Cannabis,,,CPV
19,Africa,West and Central Africa,Cabo Verde,8.1,,,2004,15-64,UNODC Estimate,,Cannabis,,,CPV
20,Africa,West and Central Africa,Côte d'Ivoire,3.24,,,2017,15-64,Government/UNODC Estimate,SS,Cannabis,1.99,4.3,CIV
21,Africa,West and Central Africa,Liberia,7.52,,,2017,15-64,WHO GSHS/UNODC Estimate,SS,Cannabis,,,LBR
22,Africa,West and Central Africa,Liberia,3.18,,,2008,15-64,UNODC Estimate,,Cannabis,1.53,4.83,LBR
23,Africa,West and Central Africa,Nigeria ,10.76,18.8,2.6,2017,15-64,Government/UNODC,HHS/I,Cannabis,10.26,11.26,NGA
