,Region,Sub-region,Country/Territory,Total,Male,Female,Year,Age,Source,Method,Drug,Low,High,ISO3,stimulant,depressant,Continent
0,Africa,East Africa,Kenya,1.2,2.1,0.3,2016.0,15-64,ARQ,HHS,Cannabis,,,KEN,,1.2,Africa
1,Africa,East Africa,Kenya,2.1,,,2007.0,15-65,Govt,HHS,Cannabis,0.3,4.0,KEN,,2.1,Africa
2,Africa,East Africa,Kenya,7.1,,,2004.0,15-64,"ARQ, NGO, Council of Europe ","SS, A ",Cannabis,,,KEN,,7.1,Africa
3,Africa,East Africa,Madagascar,9.1,,,2004.0,15-64,ARQ,"SS, A",Cannabis,,,MDG,,9.1,Africa
4,Africa,East Africa,Mauritius,1.08,,,2009.0,15-54,Government source,,Cannabis,,,MUS,,1.08,Africa
5,Africa,East Africa,Mauritius,3.9,,,2004.0,15-54,ARQ ,,Cannabis,,,MUS,,3.9,Africa
6,Africa,North Africa,Algeria,0.52,1.06,0.03,2010.0,12+,ARQ,HHS,Cannabis,,,DZA,,0.52,Africa
7,Africa,North Africa,Egypt,5.31,,,2016.0,15-64,MedSPAD/UNODC estimate ,SS,Cannabis,,,EGY,,5.31,Africa
8,Africa,North Africa,Egypt,6.24,,,2006.0,15-64,Govt; Academic Research,"HHS, SS",Cannabis,2.9,9.58,EGY,,6.24,Africa
9,Africa,North Africa,Morocco,10.47,,,2017.0,15-64,MedSPAD/UNODC estimate ,SS,Cannabis,,,MAR,,10.47,Africa
10,Africa,North Africa,Morocco,4.22,,,2004.0,15-64,ARQ,HHS ,Cannabis,,,MAR,,4.22,Africa
11,Africa,North Africa,Tunisia,5.35,,,2017.0,15-64,MedSPAD/UNODC estimate ,SS,Cannabis,,,TUN,,5.35,Africa
12,Africa,North Africa,Tunisia,2.6,,,2013.0,15-64,ARQ,HHS,Cannabis,,,TUN,,2.6,Africa
13,Africa,Southern Africa,South Africa,3.65,,,2011.0,15-64,ARQ,SS,Cannabis,2.88,4.42,ZAF,,3.65,Africa
14,Africa,Southern Africa,South Africa,4.26,,,2008.0,15-64,ARQ ,HHS ,Cannabis,3.52,6.18,ZAF,,4.26,Africa
15,Africa,Southern Africa,Zambia,9.5,,,2004.0,15-64,Govt; Academic Research,SS,Cannabis,4.0,15.6,ZMB,,9.5,Africa
16,Africa,Southern Africa,Zambia,17.7,,,2003.0,,UNODC Estimate ,,Cannabis,,,ZMB,,17.7,Africa
17,Africa,West and Central Africa,Burkina Faso,2.9,,,2006.0,15-64,UNODC Estimate,,Cannabis,,,BFA,,2.9,Africa
18,Africa,West and Central Africa,Cabo Verde,2.4,,,2012.0,15-64,UNODC/Govt.,HHS,Cannabis,,,CPV,,2.4,Africa
19,Africa,West and Central Africa,Cabo Verde,8.1,,,2004.0,15-64,UNODC Estimate,,Cannabis,,,CPV,,8.1,Africa
20,Africa,West and Central Africa,Côte d'Ivoire,3.24,,,2017.0,15-64,Government/UNODC Estimate,SS,Cannabis,1.99,4.3,CIV,,3.24,Africa
21,Africa,West and Central Africa,Liberia,7.52,,,2017.0,15-64,WHO GSHS/UNODC Estimate,SS,Cannabis,,,LBR,,7.52,Africa
22,Africa,West and Central Africa,Liberia,3.18,,,2008.0,15-64,UNODC Estimate,,Cannabis,1.53,4.83,LBR,,3.18,Africa
23,Africa,West and Central Africa,Nigeria,10.76,18.8,2.6,2017.0,15-64,Government/UNODC,HHS/I,Cannabis,10.26,11.26,NGA,,10.76,Africa
24,Africa,West and Central Africa,Nigeria,14.3,,,2008.0,15-64,ARQ,HHS,Cannabis,11.76,16.84,NGA,,14.3,Africa
25,Africa,West and Central Africa,Sierra Leone,6.48,,,2017.0,15-64,WHO GSHS/UNODC Estimate,SS,Cannabis,,,SLE,,6.48,Africa
26,Africa,West and Central Africa,Sierra Leone,5.42,,,2010.0,15-64,UNODC Estimate,,Cannabis,3.52,7.32,SLE,,5.42,Africa
27,Africa,West and Central Africa,Togo,1.0,,,2009.0,15-64,UNODC Estimate,SS,Cannabis,0.2,3.1,TGO,,1.0,Africa
28,Africa,West and Central Africa,Togo,2.73,,,2006.0,15-64,UNODC Estimate ,SS ,Cannabis,,,TGO,,2.73,Africa
29,Americas,Caribbean,Bahamas,3.1,5.0,1.0,2017.0,12-65,ARQ,HHS,Cannabis,,,BHS,,3.1,America
30,Americas,Caribbean,Bahamas,5.54,,,2008.0,15-64,ARQ,SS,Cannabis,3.2,7.89,BHS,,5.54,America
31,Americas,Caribbean,Bahamas,4.7,,,2003.0,15-64,UNODC Estimate ,SS ,Cannabis,,,BHS,,4.7,America
32,Americas,Caribbean,Barbados,8.3,,,2006.0,15-64,CICAD,HHS,Cannabis,,,BRB,,8.3,America
33,Americas,Caribbean,Dominican Republic,0.68,1.4,0.22,2010.0,12-65,CICAD,HHS,Cannabis,,,DOM,,0.68,America
34,Americas,Caribbean,Dominican Republic,0.31,,,2008.0,15-64,ARQ,SS,Cannabis,0.25,1.41,DOM,,0.31,America
35,Americas,Caribbean,Haiti,2.5,2.3,2.7,2018.0,15-64,ARQ,HHS,Cannabis,,,HTI,,2.5,America
36,Americas,Caribbean,Haiti,1.51,,,2010.0,15-64,UNODC Estimate,SS,Cannabis,0.26,2.75,HTI,,1.51,America
37,Americas,Caribbean,Haiti,1.41,,,2005.0,15-64,UNODC Estimate,SS,Cannabis,0.43,2.15,HTI,,1.41,America
38,Americas,Caribbean,Jamaica,18.0,28.5,7.8,2016.0,12-65,Government source,HHS,Cannabis,,,JAM,,18.0,America
39,Americas,Caribbean,Jamaica,7.21,,,2010.0,15-64,UNODC Estimate,SS,Cannabis,4.25,10.17,JAM,,7.21,America
40,Americas,Caribbean,Jamaica,9.86,,,2006.0,15-64,Government source,SS,Cannabis,7.52,12.2,JAM,,9.86,America
41,Americas,Caribbean,Jamaica,10.7,,,2001.0,12-55,UNODC Estimate ,,Cannabis,,,JAM,,10.7,America
42,Americas,Caribbean,Puerto Rico,4.88,,,2005.0,15-64,Government source,SS,Cannabis,3.1,6.65,PRI,,4.88,America
43,Americas,Caribbean,Saint Lucia,8.87,,,2010.0,15-64,UNODC Estimate,SS,Cannabis,5.64,12.1,LCA,,8.87,America
44,Americas,Caribbean,Saint Lucia,9.0,,,2006.0,15-64,UNODC Estimate,SS,Cannabis,,,LCA,,9.0,America
45,Americas,Caribbean,Trinidad and Tobago,4.79,,,2017.0,15-64,WHO GSHS/UNODC Estimate,SS,Cannabis,1.4,8.18,TTO,,4.79,America
46,Americas,Caribbean,Trinidad and Tobago,4.03,,,2010.0,15-64,UNODC Estimate,SS,Cannabis,1.55,6.52,TTO,,4.03,America
47,Americas,Caribbean,Trinidad and Tobago,4.66,,,2006.0,15-64,Government source,SS,Cannabis,2.91,6.42,TTO,,4.66,America
