,Region,SubRegion,ISO3,Country/Territory,Drug Group,Ranking
2,Asia,East and South-East Asia,PHL,Philippines (the),Amphetamine-type stimulants,1
3,Asia,East and South-East Asia,PHL,Philippines (the), Cannabis-type drugs,2
4,Asia,East and South-East Asia,PHL,Philippines (the)," Opioids, including opiates and synthetic opioids",3
5,Asia,East and South-East Asia,PHL,Philippines (the), (Non-medical use of) pharmaceutical sedatives and tranquillizers,4
6,Asia,East and South-East Asia,PHL,Philippines (the), “Ecstasy”-type substances,5
7,Asia,East and South-East Asia,PHL,Philippines (the), Cocaine-type drugs,6
8,Asia,East and South-East Asia,PHL,Philippines (the), Solvents and inhalants,7
9,Asia,East and South-East Asia,PHL,Philippines (the), Hallucinogens,8
10,Asia,East and South-East Asia,PHL,Philippines (the), Other drugs / psychoactive substances / pharmaceutical products not listed above,9
11,Europe,Western and Central Europe,SVK,Slovakia,Cannabis-type drugs,1
12,Europe,Western and Central Europe,SVK,Slovakia, (Non-medical use of) pharmaceutical sedatives and tranquillizers,2
13,Europe,Western and Central Europe,SVK,Slovakia," Opioids, including opiates and synthetic opioids",3
14,Europe,Western and Central Europe,SVK,Slovakia, “Ecstasy”-type substances,4
15,Europe,Western and Central Europe,SVK,Slovakia, Cocaine-type drugs,5
16,Europe,Western and Central Europe,SVK,Slovakia, Hallucinogens,6
17,Europe,Eastern Europe,MDA,Republic of Moldova (the),Cannabis-type drugs,1
18,Europe,Eastern Europe,MDA,Republic of Moldova (the)," Opioids, including opiates and synthetic opioids",2
19,Europe,Eastern Europe,MDA,Republic of Moldova (the), Amphetamine-type stimulants,3
20,Europe,Eastern Europe,MDA,Republic of Moldova (the), New psychoactive substances,4
21,Europe,Western and Central Europe,FRA,France,Cannabis-type drugs,1
22,Europe,Western and Central Europe,FRA,France, Cocaine-type drugs,2
23,Europe,Western and Central Europe,FRA,France, Amphetamine-type stimulants,3
24,Europe,Western and Central Europe,FRA,France, Hallucinogens,4
25,Europe,Western and Central Europe,FRA,France," Opioids, including opiates and synthetic opioids",5
26,Europe,Western and Central Europe,FRA,France, Solvents and inhalants,6
27,Americas,Central America,PAN,Panama,Cannabis-type drugs,1
28,Americas,Central America,PAN,Panama, Cocaine-type drugs,2
29,Americas,Central America,PAN,Panama, “Ecstasy”-type substances,3
30,Americas,Central America,PAN,Panama, Amphetamine-type stimulants,4
31,Americas,Central America,PAN,Panama," Opioids, including opiates and synthetic opioids",5
32,Asia,Near and Middle East/ South-West Asia,QAT,Qatar,Amphetamine-type stimulants,1
33,Asia,Near and Middle East/ South-West Asia,QAT,Qatar, Other drugs / psychoactive substances / pharmaceutical products not listed above,2
34,Asia,Near and Middle East/ South-West Asia,ARE,United Arab Emirates (the),(Non-medical use of) pharmaceutical sedatives and tranquillizers,1
35,Asia,Near and Middle East/ South-West Asia,ARE,United Arab Emirates (the), Amphetamine-type stimulants,2
36,Asia,Near and Middle East/ South-West Asia,ARE,United Arab Emirates (the), Cannabis-type drugs,3
37,Asia,Near and Middle East/ South-West Asia,ARE,United Arab Emirates (the)," Opioids, including opiates and synthetic opioids",4
38,Asia,Central Asia and Transcaucasia,KAZ,Kazakhstan,"Opioids, including opiates and synthetic opioids",1
39,Asia,Central Asia and Transcaucasia,KAZ,Kazakhstan, Cannabis-type drugs,2
40,Asia,Central Asia and Transcaucasia,KAZ,Kazakhstan, Amphetamine-type stimulants,3
41,Europe,Western and Central Europe,MLT,Malta,Cannabis-type drugs,1
42,Europe,Western and Central Europe,MLT,Malta, Cocaine-type drugs,2
43,Europe,Western and Central Europe,MLT,Malta," Opioids, including opiates and synthetic opioids",3
44,Asia,East and South-East Asia,BRN,Brunei Darussalam,Amphetamine-type stimulants,1
