,Country/Territory,ISO3
0,Algeria,DZA
1,Andorra,AND
2,Argentina,ARG
3,Armenia,ARM
4,Australia,AUS
5,Austria,AUT
6,Azerbaijan,AZE
7,Bahamas (the),BHS
8,Belarus,BLR
9,Belgium,BEL
10,Bhutan,BTN
11,Bolivia (Plurinational State of),BOL
12,Brunei Darussalam,BRN
13,Bulgaria,BGR
14,Canada,CAN
15,Chile,CHL
16,China,CHN
17,"China, Hong Kong SAR",HKG
18,"China, Macao SAR",MAC
19,Colombia,COL
20,Costa Rica,CRI
21,Croatia,HRV
22,Cyprus,CYP
23,Czechia,CZE
24,Côte d'Ivoire,CIV
25,Ecuador,ECU
26,Egypt,EGY
27,El Salvador,SLV
28,Estonia,EST
29,Finland,FIN
30,France,FRA
31,Gambia (the),GMB
32,Germany,DEU
33,Ghana,GHA
34,Gibraltar,GIB
35,Greece,GRC
36,Guatemala,GTM
37,Haiti,HTI
38,Honduras,HND
39,Hungary,HUN
40,India,IND
41,Indonesia,IDN
42,Iraq,IRQ
43,Ireland,IRL
44,Israel,ISR
45,Italy,ITA
46,Kazakhstan,KAZ
47,Kenya,KEN
48,Kyrgyzstan,KGZ
49,Latvia,LVA
50,Lebanon,LBN
51,Luxembourg,LUX
52,Malaysia,MYS
53,Mali,MLI
54,Malta,MLT
55,Mauritius,MUS
56,Mexico,MEX
57,Montenegro,MNE
58,Morocco,MAR
59,Myanmar,MMR
60,Netherlands (the),NLD
61,New Zealand,NZL
62,Nicaragua,NIC
63,Niger (the),NER
64,Nigeria,NGA
65,Norway,NOR
66,Oman,OMN
67,Pakistan,PAK
68,Panama,PAN
69,Peru,PER
70,Philippines (the),PHL
71,Poland,POL
72,Portugal,PRT
73,Qatar,QAT
74,Republic of Korea (the),KOR
75,Republic of Moldova (the),MDA
76,Saudi Arabia,SAU
77,Serbia,SRB
78,Singapore,SGP
79,Slovakia,SVK
80,South Africa,ZAF
81,Spain,ESP
82,Sri Lanka,LKA
83,State of Palestine (the),PSE
84,Sweden,SWE
85,Switzerland,CHE
86,Tajikistan,TJK
87,Thailand,THA
88,Timor-Leste,TLS
89,Togo,TGO
90,Trinidad and Tobago,TTO
91,Ukraine,UKR
92,United Arab Emirates (the),ARE
93,United Kingdom of Great Britain and Northern Ireland (the),GBR
94,Uruguay,URY
95,Uzbekistan,UZB
96,Venezuela (Bolivarian Republic of),VEN
97,Zambia,ZMB
98,Zimbabwe,ZWE
