,Region,SubRegion,Country,Code,Year,DrugGroup,Drug Type,Trends overall,Group Age 0-17,Group Age 18-24,Group Age 25+
0,Africa,East Africa,Kenya,KEN,2020,Any drug,Any drug,Small increase (5-10%),Small increase (5-10%),Small increase (5-10%),Small increase (5-10%)
1,Africa,East Africa,Kenya,KEN,2020,Cannabis-type drugs,Cannabis-type drugs,Small increase (5-10%),Small increase (5-10%),Small increase (5-10%),Small increase (5-10%)
2,Africa,East Africa,Kenya,KEN,2020,Cannabis-type drugs,Cannabis herb (marijuana),Small increase (5-10%),Small increase (5-10%),Small increase (5-10%),Small increase (5-10%)
3,Africa,East Africa,Kenya,KEN,2020,Cannabis-type drugs,Cannabis resin (hashish),Small decrease (5-10%),Small decrease (5-10%),Small decrease (5-10%),Small decrease (5-10%)
4,Africa,East Africa,Kenya,KEN,2020,Cannabis-type drugs,Other types of cannabis products excluding synthetic cannabinoids,Small increase (5-10%),Small increase (5-10%),Small increase (5-10%),Small increase (5-10%)
5,Africa,East Africa,Kenya,KEN,2020,"Opioids, including opiates and synthetic opioids","Opioids, including opiates and synthetic opioids",,,Stable situation (+-5%),Stable situation (+-5%)
6,Africa,East Africa,Kenya,KEN,2020,"Opioids, including opiates and synthetic opioids",Heroin,Stable situation (+-5%),Stable situation (+-5%),Stable situation (+-5%),Stable situation (+-5%)
7,Africa,East Africa,Kenya,KEN,2020,"Opioids, including opiates and synthetic opioids",Tramadol,Stable situation (+-5%),Stable situation (+-5%),Stable situation (+-5%),Stable situation (+-5%)
8,Africa,East Africa,Kenya,KEN,2020,"Opioids, including opiates and synthetic opioids",Codeine,Stable situation (+-5%),Stable situation (+-5%),Stable situation (+-5%),Stable situation (+-5%)
9,Africa,East Africa,Kenya,KEN,2020,Cocaine-type drugs,Cocaine-type drugs,Small decrease (5-10%),Small decrease (5-10%),Small decrease (5-10%),Small decrease (5-10%)
10,Africa,East Africa,Kenya,KEN,2020,Cocaine-type drugs,Cocaine hydrochloride,Small decrease (5-10%),Small decrease (5-10%),Small decrease (5-10%),Small decrease (5-10%)
11,Africa,East Africa,Kenya,KEN,2020,Non-medical use of pharmaceutical sedatives and tranquillizers,Non-medical use of pharmaceutical sedatives and tranquillizers,Small increase (5-10%),Small increase (5-10%),Small increase (5-10%),Small increase (5-10%)
12,Africa,East Africa,Kenya,KEN,2020,Solvents and inhalants,Solvents and inhalants,Small decrease (5-10%),Small decrease (5-10%),Small decrease (5-10%),Small decrease (5-10%)
13,Africa,East Africa,Kenya,KEN,2020,Other drugs / psychoactive substances / pharmaceutical products not listed above,Other drugs / psychoactive substances / pharmaceutical products not listed above,Small increase (5-10%),Small increase (5-10%),Small increase (5-10%),Small increase (5-10%)
