CCN;CODCNH;Nombre Centro;Dirección;Teléfono;Cód. Municipio;Municipio;Cód. Provincia;Provincia;Cód. CCAA;CCAA;Código Postal;CAMAS;Cód. Clase de Centro;Clase de Centro;Cód. Dep. Funcional;Dependencia Funcional;Forma parte Complejo;CODIDCOM;Nombre del Complejo;ALTA;Email
1531000730;310121;HOSPITAL GARCIA ORCOYEN;CALLE SANTA SORIA 22 -;848435000;310977;Estella-Lizarra;31;NAVARRA;15;C. FORAL DE NAVARRA;31200;106;C11;Hospitales Generales;2;SERVICIOS E INSTITUTOS DE SALUD DE LAS COMUNIDADES AUTÓNOMAS;N;;;N;GERENCIA.AREASALUD.ESTELLA@NAVARRA.ES
1531000737;310044;HOSPITAL SAN JUAN DE DIOS;CALLE BELOSO ALTO 3 -;948231800;312016;Pamplona/Iruña;31;NAVARRA;15;C. FORAL DE NAVARRA;31006;256;C11;Hospitales Generales;20;PRIVADOS;N;;;N;HSJDPAMPLONA@OHSJD.ES
1531000733;310060;CLINICA UNIVERSIDAD DE NAVARRA;AVENIDA PIO XII 36 -;948255400;312016;Pamplona/Iruña;31;NAVARRA;15;C. FORAL DE NAVARRA;31008;230;C11;Hospitales Generales;20;PRIVADOS;N;;;N;DIRECCIONCUN@UNAV.ES
1531000736;310057;CLINICA PSIQUIATRICA PADRE MENNI;CALLE JOAQUIN BEUNZA 45 -;948140611;312016;Pamplona/Iruña;31;NAVARRA;15;C. FORAL DE NAVARRA;31014;237;C14;Hospitales de salud mental y tratamiento de toxicomanías;20;PRIVADOS;N;;;N;GERENCIA.MENNIPAMPLONA@HOSPITALARIAS.ES
1531000738;310076;CLINICA ARCANGEL SAN MIGUEL - PAMPLONA;CALLE BELOSO ALTO. 32 -;948296000;312016;Pamplona/Iruña;31;NAVARRA;15;C. FORAL DE NAVARRA;31006;72;C11;Hospitales Generales;20;PRIVADOS;N;;;N;CLINICASANMIGUEL@IMQNAVARRA.COM
1531000739;310039;CENTRO SAN FRANCISCO JAVIER;AVENIDA VILLAVA 53 -;948422730;312016;Pamplona/Iruña;31;NAVARRA;15;C. FORAL DE NAVARRA;31015;84;C14;Hospitales de salud mental y tratamiento de toxicomanías;2;SERVICIOS E INSTITUTOS DE SALUD DE LAS COMUNIDADES AUTÓNOMAS;N;;;N;UNIDAD.MEDIA.ESTANCIA@NAVARRA.ES
1531002230;310150;HOSPITAL UNIVERSITARIO DE NAVARRA;CALLE IRUNLARREA 3 -;848422222;312016;Pamplona/Iruña;31;NAVARRA;15;C. FORAL DE NAVARRA;31008;1077;C11;Hospitales Generales;2;SERVICIOS E INSTITUTOS DE SALUD DE LAS COMUNIDADES AUTÓNOMAS;N;;;N;GERCHNA@NAVARRA.ES
1531000729;310137;HOSPITAL REINA SOFIA;CARRETERA TARAZONA KM. 3 -;848434000;312325;Tudela;31;NAVARRA;15;C. FORAL DE NAVARRA;31500;198;C11;Hospitales Generales;2;SERVICIOS E INSTITUTOS DE SALUD DE LAS COMUNIDADES AUTÓNOMAS;N;;;N;HRST@NAVARRA.ES
1232000112;320126;HOSPITAL PUBLICO DE VALDEORRAS;AVENIDA CONDE DE FENOSA 50;988339000;320090;Barco de Valdeorras, O;32;OURENSE;12;GALICIA;32300;100;C11;Hospitales Generales;2;SERVICIOS E INSTITUTOS DE SALUD DE LAS COMUNIDADES AUTÓNOMAS;N;;;N;
1232000115;320163;CLINICA SANTA TERESA;CALLE SAENZ DIEZ 11;988371710;320548;Ourense;32;OURENSE;12;GALICIA;32003;49;C11;Hospitales Generales;20;PRIVADOS;N;;;N;CORREO@COSAGA.COM
1232000114;320087;CENTRO MEDICO EL CARMEN;AVENIDA HABANA (DE LA) 50;988223400;320548;Ourense;32;OURENSE;12;GALICIA;32003;43;C11;Hospitales Generales;20;PRIVADOS;N;;;N;INFO@CENTROMEDICOELCARMEN.ES
1232000111;320013;COMPLEXO HOSPITALARIO UNIVERSITARIO DE OURENSE;CALLE RAMON PUGA 52;988385500;320548;Ourense;32;OURENSE;12;GALICIA;32005;881;C11;Hospitales Generales;2;SERVICIOS E INSTITUTOS DE SALUD DE LAS COMUNIDADES AUTÓNOMAS;N;;;N;
1012000256;120148;INSTITUTO DE TRAUMATOLOGIA DE UNION DE MUTUAS (MATEPSS Nº 267);AVENIDA VIRGEN DE LIDON 67;964231212;120402;Castelló de la Plana;12;CASTELLÓN;10;COMUNIDAD VALENCIANA;12004;28;C12;Hospitales especializados;21;MÚTUAS COLABORADORAS CON LA SEGURIDAD SOCIAL;N;;;N;AMARTI@UNIONDEMUTUAS.ES
1012000255;120159;HOSPITAL REY D. JAIME;CALLE MARIA ROSA MOLAS 25;964726000;120402;Castelló de la Plana;12;CASTELLÓN;10;COMUNIDAD VALENCIANA;12004;96;C11;Hospitales Generales;20;PRIVADOS;N;;;N;REYDJAIME@HOSPITALES.NISA.ES
1012000183;120043;CONSORCIO HOSPITALARIO PROVINCIAL DE CASTELLON;AVENIDA DOCTOR CLARA 19;"964354303;964359700";120402;Castelló de la Plana;12;CASTELLÓN;10;COMUNIDAD VALENCIANA;12002;257;C11;Hospitales Generales;4;OTROS CENTROS O ESTABLECIMIENTOS PÚBLICOS DE DEPENDENCIA AUTONÓMICA;N;;;N;DIRECCION.GERENCIA@HOSPITALPROVINCIAL.ES
1012000182;120038;HOSPITAL LA MAGDALENA;CAMINO COLLET 32;964356800;120402;Castelló de la Plana;12;CASTELLÓN;10;COMUNIDAD VALENCIANA;12004;128;C13;Hospitales de media y larga estancia;2;SERVICIOS E INSTITUTOS DE SALUD DE LAS COMUNIDADES AUTÓNOMAS;N;;;N;
1012000180;120017;HOSPITAL GENERAL UNIVERSITARIO DE CASTELLON;AVENIDA BENICASIM S/N;"964725000;964726510";120402;Castelló de la Plana;12;CASTELLÓN;10;COMUNIDAD VALENCIANA;12004;521;C11;Hospitales Generales;2;SERVICIOS E INSTITUTOS DE SALUD DE LAS COMUNIDADES AUTÓNOMAS;N;;;N;SUGERENCIAS_DSCS@GVA.ES
1012000178;120136;HOSPITAL UNIVERSITARIO DE LA PLANA;CARRETERA VILA-REAL A BORRIANA KM 0,5;"964399775;964399845";121359;Vila-real;12;CASTELLÓN;10;COMUNIDAD VALENCIANA;12540;258;C11;Hospitales Generales;2;SERVICIOS E INSTITUTOS DE SALUD DE LAS COMUNIDADES AUTÓNOMAS;N;;;N;LAPLANA@GVA.ES
1012000288;120115;HOSPITAL COMARCAL DE VINAROS;AVENIDA GIL DE ATROCILLO S/N;"964400032;964477000";121384;Vinaròs;12;CASTELLÓN;10;COMUNIDAD VALENCIANA;12500;174;C11;Hospitales Generales;2;SERVICIOS E INSTITUTOS DE SALUD DE LAS COMUNIDADES AUTÓNOMAS;N;;;N;SUAY_ALE@GVA.ES
0813000450;130052;HOSPITAL GENERAL LA MANCHA CENTRO;AVENIDA DE LA CONSTITUCION 3;926580500;130052;Alcázar de San Juan;13;CIUDAD REAL;08;CASTILLA-LA MANCHA;13600;362;C11;Hospitales Generales;2;SERVICIOS E INSTITUTOS DE SALUD DE LAS COMUNIDADES AUTÓNOMAS;N;;;N;
0813000043;130049;HOSPITAL QUIRONSALUD CIUDAD REAL;CALLE ALISOS 19;926255008;130343;Ciudad Real;13;CIUDAD REAL;08;CASTILLA-LA MANCHA;13002;55;C11;Hospitales Generales;20;PRIVADOS;N;;;N;CIUDAD.REAL@QUIRONSALUD.ES
0813000583;130034;SERVICIOS SANITARIOS Y ASISTENCIALES;RONDA DEL CARMEN S/Nº;926231275;130343;Ciudad Real;13;CIUDAD REAL;08;CASTILLA-LA MANCHA;13002;85;C14;Hospitales de salud mental y tratamiento de toxicomanías;2;SERVICIOS E INSTITUTOS DE SALUD DE LAS COMUNIDADES AUTÓNOMAS;N;;;N;ADMINISTRACIONSSA@DIPUCR.ES
0813000595;130127;HOSPITAL GENERAL DE CIUDAD REAL;CALLE OBISPO RAFAEL TORIJA S/N;926278000;130343;Ciudad Real;13;CIUDAD REAL;08;CASTILLA-LA MANCHA;13005;564;C11;Hospitales Generales;2;SERVICIOS E INSTITUTOS DE SALUD DE LAS COMUNIDADES AUTÓNOMAS;N;;;N;
